City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castro,-24.7911,-50.0119,56.77,75,1,2.98,BR,1671160075
1,qaanaaq,77.484,-69.3632,15.42,70,100,7.56,GL,1671160075
2,hilo,19.7297,-155.09,76.73,84,100,5.75,US,1671160058
3,butaritari,3.0707,172.7902,81.52,75,54,6.8,KI,1671160076
4,belle fourche,44.6714,-103.8522,19.51,67,100,27.29,US,1671160076
5,arraial do cabo,-22.9661,-42.0278,72.7,80,38,15.21,BR,1671160076
6,busselton,-33.65,115.3333,76.14,40,0,9.28,AU,1671160077
7,prieska,-29.6641,22.7474,72.59,59,98,11.1,ZA,1671160077
8,geraldton,-28.7667,114.6,90.01,18,0,13.8,AU,1671160077
9,te anau,-45.4167,167.7167,65.53,81,49,3.06,NZ,1671160078
10,mayo,38.8876,-76.5119,50.95,94,100,11.5,US,1671160078
11,east london,-33.0153,27.9116,67.86,83,11,3.51,ZA,1671160078
12,ponta do sol,32.6667,-17.1,61.72,80,52,13.69,PT,1671160079
13,pangnirtung,66.1451,-65.7125,7.68,96,99,6.89,CA,1671160079
14,albany,42.6001,-73.9662,36.3,89,100,1.99,US,1671159743
15,olafsvik,64.8945,-23.7142,24.3,54,99,11.59,IS,1671160080
16,mataura,-46.1927,168.8643,63.48,87,98,4.29,NZ,1671160080
17,saskylakh,71.9167,114.0833,-37.1,100,85,2.62,RU,1671160080
18,rikitea,-23.1203,-134.9692,73.74,77,83,8.59,PF,1671160081
19,labuhan,-6.8844,112.2051,82.81,72,100,9.31,ID,1671160081
20,timra,62.487,17.3257,-2.52,84,45,4.61,SE,1671160081
21,barrow,71.2906,-156.7887,3.22,78,100,23.02,US,1671159805
22,carnarvon,-24.8667,113.6333,80.82,55,0,10.56,AU,1671160082
23,mahebourg,-20.4081,57.7,77.29,69,40,11.5,MU,1671160082
24,husavik,66.0449,-17.3389,15.85,78,100,3.31,IS,1671160083
25,bambous virieux,-20.3428,57.7575,77.25,69,40,11.5,MU,1671160083
26,saint-joseph,-21.3667,55.6167,77.38,82,59,10.09,RE,1671160084
27,hithadhoo,-0.6,73.0833,81.03,72,85,11.07,MV,1671160084
28,lompoc,34.6391,-120.4579,51.94,90,0,0.0,US,1671159880
29,lasa,46.6166,10.7002,40.17,97,100,2.08,IT,1671160085
30,hella,67.2,14.4333,30.34,73,75,10.36,NO,1671160085
31,nanortalik,60.1432,-45.2371,20.48,78,37,3.74,GL,1671160085
32,namibe,-15.1961,12.1522,67.8,83,54,4.32,AO,1671160086
33,vao,-22.6667,167.4833,77.49,64,0,8.52,NC,1671160086
34,sovetskiy,61.3614,63.5842,0.34,99,87,4.72,RU,1671160086
35,vila velha,-20.3297,-40.2925,71.55,90,0,2.3,BR,1671159903
36,sesheke,-17.4759,24.2968,67.89,91,100,4.68,ZM,1671160087
37,jamestown,42.097,-79.2353,40.59,75,100,10.36,US,1671160087
38,hobart,-42.8794,147.3294,62.06,71,75,16.11,AU,1671159937
39,tuatapere,-46.1333,167.6833,58.05,98,87,4.16,NZ,1671159931
40,yellowknife,62.456,-114.3525,-4.45,83,100,5.01,CA,1671160088
41,yelan-kolenovskiy,51.1632,41.151,25.81,87,100,7.94,RU,1671160088
42,cape town,-33.9258,18.4232,73.38,80,84,1.99,ZA,1671160089
43,new norfolk,-42.7826,147.0587,61.72,65,100,3.0,AU,1671160089
44,chuy,-33.6971,-53.4616,58.96,69,1,10.6,UY,1671160089
45,vardo,70.3705,31.1107,33.78,80,40,28.77,NO,1671160090
46,thompson,55.7435,-97.8558,15.96,86,100,10.36,CA,1671160090
47,faanui,-16.4833,-151.75,80.28,78,100,17.22,PF,1671160091
48,college,64.8569,-147.8028,7.12,78,75,4.61,US,1671159956
49,severo-kurilsk,50.6789,156.125,27.1,74,78,13.62,RU,1671160091
50,isangel,-19.55,169.2667,87.91,66,75,9.22,VU,1671160091
51,dikson,73.5069,80.5464,9.57,94,100,20.54,RU,1671160092
52,sao desiderio,-12.3633,-44.9733,68.67,94,100,2.98,BR,1671160092
53,talnakh,69.4865,88.3972,1.92,88,100,14.74,RU,1671160093
54,opuwo,-18.0607,13.84,66.24,76,50,2.77,NA,1671160093
55,kattivakkam,13.2167,80.3167,77.09,72,70,7.96,IN,1671160093
56,liwale,-9.7667,37.9333,69.35,96,93,4.21,TZ,1671160094
57,bumba,2.1833,22.4667,69.64,91,33,0.98,CD,1671160094
58,aykhal,66.0,111.5,-24.48,100,100,5.75,RU,1671160094
59,iqaluit,63.7506,-68.5145,5.18,91,100,3.2,CA,1671160095
60,birao,10.2849,22.7882,66.04,20,46,8.12,CF,1671160095
61,atuona,-9.8,-139.0333,78.49,78,13,18.01,PF,1671160095
62,hecelchakan,20.1667,-90.1333,73.08,93,65,2.55,MX,1671160096
63,ribeira grande,38.5167,-28.7,61.77,94,100,21.0,PT,1671160096
64,shelburne,44.0787,-80.2041,31.23,99,100,13.38,CA,1671160097
65,charters towers,-20.1,146.2667,95.49,27,8,4.63,AU,1671160097
66,mar del plata,-38.0023,-57.5575,60.13,73,75,11.5,AR,1671160097
67,trincomalee,8.5711,81.2335,79.81,74,98,13.18,LK,1671160098
68,souillac,-20.5167,57.5167,77.38,69,40,11.5,MU,1671160098
69,panaba,21.2833,-88.2667,74.71,85,30,4.76,MX,1671160098
70,kangalassy,62.3464,129.9628,-49.07,99,89,2.08,RU,1671160099
71,myskhako,44.6714,37.7433,49.78,93,98,11.01,RU,1671160099
72,chokurdakh,70.6333,147.9167,-40.99,100,55,4.5,RU,1671160100
73,longyearbyen,78.2186,15.6401,4.84,72,75,8.05,SJ,1671160100
74,kapaa,22.0752,-159.319,79.12,75,40,9.22,US,1671160100
75,victoria,22.2855,114.1577,66.25,91,100,8.99,HK,1671159931
76,malakal,9.5334,31.6605,73.11,33,32,5.12,SS,1671160101
77,avarua,-21.2078,-159.775,73.45,100,100,17.27,CK,1671160101
78,djibo,14.1022,-1.6306,69.76,13,31,7.87,BF,1671160102
79,bluff,-46.6,168.3333,63.81,85,94,11.1,NZ,1671160102
80,ushuaia,-54.8,-68.3,49.66,71,75,2.3,AR,1671160102
81,bandarbeyla,9.4942,50.8122,73.54,77,0,14.88,SO,1671160103
82,la tuque,47.4334,-72.7824,26.26,92,82,4.81,CA,1671160103
83,sao joao da barra,-21.6403,-41.0511,72.55,79,90,5.44,BR,1671160103
84,tuktoyaktuk,69.4541,-133.0374,-8.79,94,55,8.66,CA,1671160104
85,tilichiki,60.4667,166.1,26.73,80,100,12.93,RU,1671160104
86,salalah,17.0151,54.0924,73.49,49,0,8.05,OM,1671160105
87,odienne,9.51,-7.5692,67.24,25,0,0.6,CI,1671160105
88,qui nhon,13.7667,109.2333,75.99,82,99,12.62,VN,1671160105
89,esperance,-33.8667,121.9,65.64,58,52,19.64,AU,1671160106
90,zyryanka,65.75,150.85,-23.35,97,100,22.1,RU,1671160106
91,vaini,-21.2,-175.2,82.56,78,20,16.11,TO,1671160106
92,punta arenas,-53.15,-70.9167,55.51,67,75,17.27,CL,1671160107
93,lorengau,-2.0226,147.2712,78.66,85,100,7.74,PG,1671160107
94,louis trichardt,-23.0439,29.9032,65.73,92,100,3.29,ZA,1671160107
95,kyzyl-suu,42.3414,78.0056,23.58,55,0,8.93,KG,1671160108
96,hermanus,-34.4187,19.2345,70.81,90,99,9.28,ZA,1671160108
97,egvekinot,66.3167,-179.1667,0.16,97,100,1.12,RU,1671160109
98,clyde river,70.4692,-68.5914,-11.04,82,2,5.95,CA,1671160109
99,aklavik,68.2191,-135.0107,-5.73,87,72,11.86,CA,1671160109
100,mirnyy,62.5353,113.9611,-12.66,99,98,6.13,RU,1671160110
101,itarema,-2.9248,-39.9167,78.85,79,100,13.24,BR,1671160110
102,san patricio,28.017,-97.5169,66.04,57,2,7.25,US,1671160109
103,lagoa,39.05,-27.9833,59.38,86,100,22.48,PT,1671160110
104,mabaruma,8.2,-59.7833,71.91,98,5,2.37,GY,1671160111
105,saint-philippe,-21.3585,55.7679,78.39,85,57,14.43,RE,1671160111
106,islamkot,24.6997,70.177,66.56,22,18,5.99,PK,1671160112
107,loreto,22.2667,-101.9667,55.44,20,3,4.63,MX,1671160046
108,thanesar,29.9833,76.8167,54.34,34,0,4.03,IN,1671160112
109,hambantota,6.1241,81.1185,75.54,94,20,3.44,LK,1671160112
110,kumo,10.0447,11.2122,70.79,21,92,7.14,NG,1671160113
111,freeport,40.6576,-73.5832,44.1,91,100,23.02,US,1671160113
112,saint george,37.1041,-113.5841,41.59,48,0,1.99,US,1671160049
113,kholtoson,50.2981,103.3097,-6.99,75,98,4.21,RU,1671160114
114,abong mbang,3.9833,13.1833,65.73,67,31,3.15,CM,1671160114
115,sahibganj,25.25,87.65,62.55,34,31,6.85,IN,1671160114
116,korla,41.7597,86.1469,20.64,57,0,4.7,CN,1671160115
117,kolondieba,11.0882,-6.8926,69.39,18,0,4.07,ML,1671160115
118,inuvik,68.3499,-133.7218,-7.55,94,72,9.98,CA,1671160115
119,yulara,-25.2406,130.9889,80.96,25,71,16.02,AU,1671160116
120,huron,41.1501,-82.5499,40.46,90,86,9.91,US,1671160116
121,neiafu,-18.65,-173.9833,83.08,74,20,8.05,TO,1671160116
122,pevek,69.7008,170.3133,-15.88,87,100,1.66,RU,1671160117
